Roll, Dice6, Dice100, Sum,,,,,,,,,
189,6,75,81,,,,,,,,,
190,6,49,55,,,,,,,,,
191,4,64,68,,,,,,,,,
192,4,43,47,,,,,,,,,
193,3,55,58,,,,,,,,,
194,3,96,99,,,,,,,,,
195,2,60,62,,,,,,,,,
196,3,85,88,,,,,,,,,
197,1,30,31,,,,,,,,,
198,5,8,13,,,,,,,,,
199,3,87,90,,,,,,,,,
200,5,82,87,,,,,,,,,
201,2,85,87,,,,,,,,,
202,3,28,31,,,,,,,,,
203,4,13,17,,,,,,,,,
204,5,59,64,,,,,,,,,
205,3,17,20,,,,,,,,,
206,4,80,84,,,,,,,,,
207,4,11,15,,,,,,,,,
208,2,31,33,,,,,,,,,
209,6,96,102,,,,,,,,,
210,2,35,37,,,,,,,,,
211,3,22,25,,,,,,,,,
212,5,25,30,,,,,,,,,
213,3,17,20,,,,,,,,,
214,6,56,62,,,,,,,,,
215,2,19,21,,,,,,,,,
216,3,5,8,,,,,,,,,
217,5,28,33,,,,,,,,,
218,4,30,34,,,,,,,,,
219,6,42,48,,,,,,,,,
220,6,82,88,,,,,,,,,
221,6,47,53,,,,,,,,,
222,3,42,45,,,,,,,,,
223,6,86,92,,,,,,,,,
224,6,27,33,,,,,,,,,
225,3,1,4,,,,,,,,,
226,1,40,41,,,,,,,,,
227,1,31,32,,,,,,,,,
228,4,77,81,,,,,,,,,
229,1,48,49,,,,,,,,,
230,2,6,8,,,,,,,,,
231,6,21,27,,,,,,,,,
232,6,72,78,,,,,,,,,
233,4,93,97,,,,,,,,,
234,3,91,94,,,,,,,,,
235,5,40,45,,,,,,,,,
236,2,44,46,,,,,,,,,
237,1,84,85,,,,,,,,,
238,3,96,99,,,,,,,,,
239,5,8,13,,,,,,,,,
240,6,53,59,,,,,,,,,
241,1,34,35,,,,,,,,,
242,4,87,91,,,,,,,,,
243,4,8,12,,,,,,,,,
244,1,14,15,,,,,,,,,
245,3,47,50,,,,,,,,,
246,2,72,74,,,,,,,,,
247,3,81,84,,,,,,,,,
248,5,66,71,,,,,,,,,
249,2,95,97,,,,,,,,,
250,6,60,66,,,,,,,,,
251,4,31,35,,,,,,,,,
252,5,72,77,,,,,,,,,
253,6,40,46,,,,,,,,,
254,5,86,91,,,,,,,,,
255,1,40,41,,,,,,,,,
256,2,11,13,,,,,,,,,
257,5,34,39,,,,,,,,,
258,3,40,43,,,,,,,,,
259,3,12,15,,,,,,,,,
260,4,95,99,,,,,,,,,
261,2,77,79,,,,,,,,,
262,4,24,28,,,,,,,,,
263,3,60,63,,,,,,,,,
264,1,82,83,,,,,,,,,
265,4,100,104,,,,,,,,,
266,1,91,92,,,,,,,,,
267,2,48,50,,,,,,,,,
268,1,95,96,,,,,,,,,
269,5,81,86,,,,,,,,,
270,2,89,91,,,,,,,,,
271,5,73,78,,,,,,,,,
272,2,45,47,,,,,,,,,
273,4,48,52,,,,,,,,,
274,1,46,47,,,,,,,,,
275,3,90,93,,,,,,,,,
276,2,16,18,,,,,,,,,
277,4,9,13,,,,,,,,,
278,5,74,79,,,,,,,,,
279,4,83,87,,,,,,,,,
280,2,77,79,,,,,,,,,
281,6,48,54,,,,,,,,,
282,4,63,67,,,,,,,,,
283,5,82,87,,,,,,,,,
284,3,85,88,,,,,,,,,
285,4,40,44,,,,,,,,,
286,6,82,88,,,,,,,,,
287,5,25,30,,,,,,,,,
288,1,70,71,,,,,,,,,
289,6,63,69,,,,,,,,,
290,4,31,35,,,,,,,,,
291,2,59,61,,,,,,,,,
292,4,69,73,,,,,,,,,
293,2,41,43,,,,,,,,,
294,6,39,45,,,,,,,,,
295,3,49,52,,,,,,,,,
296,2,57,59,,,,,,,,,
297,5,35,40,,,,,,,,,
298,5,95,100,,,,,,,,,
299,6,80,86,,,,,,,,,
300,4,29,33,,,,,,,,,
301,3,5,8,,,,,,,,,
302,3,83,86,,,,,,,,,
303,5,89,94,,,,,,,,,
304,3,52,55,,,,,,,,,
305,1,72,73,,,,,,,,,
306,4,6,10,,,,,,,,,
307,2,84,86,,,,,,,,,
308,2,53,55,,,,,,,,,
309,6,67,73,,,,,,,,,
310,4,46,50,,,,,,,,,
311,4,11,15,,,,,,,,,
312,6,64,70,,,,,,,,,
313,1,25,26,,,,,,,,,
314,4,64,68,,,,,,,,,
315,2,41,43,,,,,,,,,
316,4,74,78,,,,,,,,,
317,1,54,55,,,,,,,,,
318,5,77,82,,,,,,,,,
319,6,13,19,,,,,,,,,
320,1,96,97,,,,,,,,,
321,4,14,18,,,,,,,,,
322,3,69,72,,,,,,,,,
323,1,26,27,,,,,,,,,
324,4,20,24,,,,,,,,,
325,1,65,66,,,,,,,,,
326,6,60,66,,,,,,,,,
327,5,71,76,,,,,,,,,
328,3,71,74,,,,,,,,,
329,1,32,33,,,,,,,,,
330,2,50,52,,,,,,,,,
331,3,77,80,,,,,,,,,
332,2,69,71,,,,,,,,,
333,1,32,33,,,,,,,,,
334,4,24,28,,,,,,,,,
335,6,26,32,,,,,,,,,
336,2,31,33,,,,,,,,,
337,1,72,73,,,,,,,,,
338,3,88,91,,,,,,,,,
339,4,20,24,,,,,,,,,
340,5,42,47,,,,,,,,,
341,6,76,82,,,,,,,,,
342,3,10,13,,,,,,,,,
343,1,75,76,,,,,,,,,
344,4,45,49,,,,,,,,,
345,6,17,23,,,,,,,,,
346,5,30,35,,,,,,,,,
347,6,18,24,,,,,,,,,
348,1,24,25,,,,,,,,,
349,5,44,49,,,,,,,,,
350,3,44,47,,,,,,,,,
351,3,18,21,,,,,,,,,
352,2,11,13,,,,,,,,,
353,4,72,76,,,,,,,,,
354,4,39,43,,,,,,,,,
355,4,9,13,,,,,,,,,
356,4,27,31,,,,,,,,,
357,4,32,36,,,,,,,,,
358,1,34,35,,,,,,,,,
359,6,72,78,,,,,,,,,
360,1,63,64,,,,,,,,,
361,5,73,78,,,,,,,,,
362,5,82,87,,,,,,,,,
363,2,91,93,,,,,,,,,
364,1,90,91,,,,,,,,,
365,6,55,61,,,,,,,,,
366,5,58,63,,,,,,,,,
367,3,58,61,,,,,,,,,
368,2,14,16,,,,,,,,,
369,3,18,21,,,,,,,,,
370,6,72,78,,,,,,,,,
371,4,35,39,,,,,,,,,
372,3,61,64,,,,,,,,,
373,6,91,97,,,,,,,,,
374,5,75,80,,,,,,,,,
375,2,25,27,,,,,,,,,
376,3,50,53,,,,,,,,,
377,1,81,82,,,,,,,,,
378,1,42,43,,,,,,,,,
379,1,91,92,,,,,,,,,
380,5,60,65,,,,,,,,,
381,6,67,73,,,,,,,,,
382,3,70,73,,,,,,,,,
383,6,37,43,,,,,,,,,
384,1,4,5,,,,,,,,,
385,4,38,42,,,,,,,,,
386,2,83,85,,,,,,,,,
387,6,30,36,,,,,,,,,
388,1,41,42,,,,,,,,,
389,2,41,43,,,,,,,,,
390,3,81,84,,,,,,,,,
391,1,3,4,,,,,,,,,
392,3,17,20,,,,,,,,,
393,6,65,71,,,,,,,,,
394,4,58,62,,,,,,,,,
395,6,40,46,,,,,,,,,
396,4,53,57,,,,,,,,,
397,6,86,92,,,,,,,,,
398,2,29,31,,,,,,,,,
399,6,8,14,,,,,,,,,
400,3,79,82,,,,,,,,,
401,5,12,17,,,,,,,,,
402,5,68,73,,,,,,,,,
403,5,56,61,,,,,,,,,
404,6,12,18,,,,,,,,,
405,4,74,78,,,,,,,,,
406,6,13,19,,,,,,,,,
407,2,74,76,,,,,,,,,
408,3,63,66,,,,,,,,,
409,1,87,88,,,,,,,,,
410,1,46,47,,,,,,,,,
411,4,90,94,,,,,,,,,
412,6,84,90,,,,,,,,,
413,3,71,74,,,,,,,,,
414,2,1,3,,,,,,,,,
415,4,48,52,,,,,,,,,
416,1,22,23,,,,,,,,,
417,3,40,43,,,,,,,,,
418,3,3,6,,,,,,,,,
419,3,100,103,,,,,,,,,
420,2,42,44,,,,,,,,,
421,1,6,7,,,,,,,,,
422,2,4,6,,,,,,,,,
423,5,87,92,,,,,,,,,
424,1,21,22,,,,,,,,,
425,1,39,40,,,,,,,,,
426,6,2,8,,,,,,,,,
427,4,63,67,,,,,,,,,
428,1,6,7,,,,,,,,,
429,3,49,52,,,,,,,,,
430,6,62,68,,,,,,,,,
431,6,37,43,,,,,,,,,
432,3,59,62,,,,,,,,,
433,2,75,77,,,,,,,,,
434,1,74,75,,,,,,,,,
435,4,75,79,,,,,,,,,
436,1,2,3,,,,,,,,,
437,2,25,27,,,,,,,,,
438,2,62,64,,,,,,,,,
439,3,24,27,,,,,,,,,
440,1,87,88,,,,,,,,,
441,4,100,104,,,,,,,,,
442,2,93,95,,,,,,,,,
443,3,77,80,,,,,,,,,
444,4,47,51,,,,,,,,,
445,1,56,57,,,,,,,,,
446,1,72,73,,,,,,,,,
447,4,95,99,,,,,,,,,
448,6,71,77,,,,,,,,,
449,6,43,49,,,,,,,,,
450,2,47,49,,,,,,,,,
451,1,62,63,,,,,,,,,
452,3,52,55,,,,,,,,,
453,6,58,64,,,,,,,,,
454,5,48,53,,,,,,,,,
455,1,99,100,,,,,,,,,
456,6,94,100,,,,,,,,,
457,3,74,77,,,,,,,,,
458,6,13,19,,,,,,,,,
459,2,35,37,,,,,,,,,
460,1,26,27,,,,,,,,,
461,6,71,77,,,,,,,,,
462,3,85,88,,,,,,,,,
463,4,31,35,,,,,,,,,
464,1,87,88,,,,,,,,,
465,1,50,51,,,,,,,,,
466,3,93,96,,,,,,,,,
467,6,37,43,,,,,,,,,
468,6,49,55,,,,,,,,,
469,4,8,12,,,,,,,,,
470,3,26,29,,,,,,,,,
471,5,82,87,,,,,,,,,
472,1,5,6,,,,,,,,,
473,5,8,13,,,,,,,,,
474,3,8,11,,,,,,,,,
475,5,79,84,,,,,,,,,
476,3,36,39,,,,,,,,,
477,2,34,36,,,,,,,,,
478,5,67,72,,,,,,,,,
479,4,27,31,,,,,,,,,
480,5,40,45,,,,,,,,,
481,3,41,44,,,,,,,,,
482,4,40,44,,,,,,,,,
483,2,27,29,,,,,,,,,
484,2,23,25,,,,,,,,,
485,6,36,42,,,,,,,,,
486,3,92,95,,,,,,,,,
487,2,71,73,,,,,,,,,
488,2,76,78,,,,,,,,,
489,5,16,21,,,,,,,,,
490,2,25,27,,,,,,,,,
491,5,68,73,,,,,,,,,
492,2,48,50,,,,,,,,,
493,5,80,85,,,,,,,,,
494,2,68,70,,,,,,,,,
495,3,22,25,,,,,,,,,
496,3,35,38,,,,,,,,,
497,2,90,92,,,,,,,,,
498,2,91,93,,,,,,,,,
499,4,13,17,,,,,,,,,
500,4,54,58,,,,,,,,,
501,1,14,15,,,,,,,,,
502,5,70,75,,,,,,,,,
503,6,45,51,,,,,,,,,
504,3,66,69,,,,,,,,,
505,2,28,30,,,,,,,,,
506,4,58,62,,,,,,,,,
507,4,2,6,,,,,,,,,
508,1,48,49,,,,,,,,,
509,3,22,25,,,,,,,,,
510,6,39,45,,,,,,,,,
511,5,74,79,,,,,,,,,
512,5,57,62,,,,,,,,,
513,4,98,102,,,,,,,,,
514,5,83,88,,,,,,,,,
515,5,60,65,,,,,,,,,
516,6,63,69,,,,,,,,,
517,5,81,86,,,,,,,,,
518,2,13,15,,,,,,,,,
519,3,76,79,,,,,,,,,
520,4,36,40,,,,,,,,,
521,2,72,74,,,,,,,,,
522,6,51,57,,,,,,,,,
523,3,50,53,,,,,,,,,
524,4,53,57,,,,,,,,,
525,6,69,75,,,,,,,,,
526,6,18,24,,,,,,,,,
527,3,16,19,,,,,,,,,
528,6,58,64,,,,,,,,,
529,6,21,27,,,,,,,,,
530,4,28,32,,,,,,,,,
531,4,76,80,,,,,,,,,
532,4,9,13,,,,,,,,,
533,6,21,27,,,,,,,,,
534,3,84,87,,,,,,,,,
535,2,50,52,,,,,,,,,
536,1,51,52,,,,,,,,,
537,5,64,69,,,,,,,,,
538,3,93,96,,,,,,,,,
539,2,55,57,,,,,,,,,
540,4,89,93,,,,,,,,,
541,5,93,98,,,,,,,,,
542,6,65,71,,,,,,,,,
543,4,32,36,,,,,,,,,
544,4,73,77,,,,,,,,,
545,2,66,68,,,,,,,,,
546,2,87,89,,,,,,,,,
547,1,41,42,,,,,,,,,
548,3,52,55,,,,,,,,,
549,3,15,18,,,,,,,,,
550,3,57,60,,,,,,,,,
551,3,5,8,,,,,,,,,
552,5,89,94,,,,,,,,,
553,5,12,17,,,,,,,,,
554,4,86,90,,,,,,,,,
555,4,31,35,,,,,,,,,
556,2,88,90,,,,,,,,,
557,1,83,84,,,,,,,,,
558,1,82,83,,,,,,,,,
559,4,78,82,,,,,,,,,
560,3,69,72,,,,,,,,,
561,1,58,59,,,,,,,,,
562,2,87,89,,,,,,,,,
563,3,2,5,,,,,,,,,
564,2,11,13,,,,,,,,,
565,5,24,29,,,,,,,,,
566,1,85,86,,,,,,,,,
567,3,26,29,,,,,,,,,
568,3,49,52,,,,,,,,,
569,3,58,61,,,,,,,,,
570,2,54,56,,,,,,,,,
571,6,11,17,,,,,,,,,
572,5,62,67,,,,,,,,,
573,1,45,46,,,,,,,,,
574,4,11,15,,,,,,,,,
575,1,54,55,,,,,,,,,
576,1,21,22,,,,,,,,,
577,5,38,43,,,,,,,,,
578,4,13,17,,,,,,,,,
579,2,49,51,,,,,,,,,
580,2,60,62,,,,,,,,,
581,3,90,93,,,,,,,,,
582,2,5,7,,,,,,,,,
583,3,20,23,,,,,,,,,
584,3,55,58,,,,,,,,,
585,4,90,94,,,,,,,,,
586,6,17,23,,,,,,,,,
587,2,49,51,,,,,,,,,
588,3,96,99,,,,,,,,,
589,1,78,79,,,,,,,,,
590,4,19,23,,,,,,,,,
591,1,41,42,,,,,,,,,
592,4,93,97,,,,,,,,,
593,2,51,53,,,,,,,,,
594,4,69,73,,,,,,,,,
595,5,29,34,,,,,,,,,
596,2,23,25,,,,,,,,,
597,4,75,79,,,,,,,,,
598,1,37,38,,,,,,,,,
599,1,31,32,,,,,,,,,
600,1,24,25,,,,,,,,,
601,6,51,57,,,,,,,,,
602,2,23,25,,,,,,,,,
603,5,22,27,,,,,,,,,
604,1,43,44,,,,,,,,,
605,5,28,33,,,,,,,,,
606,4,29,33,,,,,,,,,
607,6,57,63,,,,,,,,,
608,2,98,100,,,,,,,,,
609,5,31,36,,,,,,,,,
610,4,57,61,,,,,,,,,
611,1,98,99,,,,,,,,,
612,6,80,86,,,,,,,,,
613,2,58,60,,,,,,,,,
614,6,18,24,,,,,,,,,
615,5,11,16,,,,,,,,,
616,1,60,61,,,,,,,,,
617,1,33,34,,,,,,,,,
618,3,11,14,,,,,,,,,
619,2,5,7,,,,,,,,,
620,5,53,58,,,,,,,,,
621,6,70,76,,,,,,,,,
622,3,52,55,,,,,,,,,
623,4,6,10,,,,,,,,,
624,3,32,35,,,,,,,,,
625,6,66,72,,,,,,,,,
626,3,46,49,,,,,,,,,
627,3,20,23,,,,,,,,,
628,4,87,91,,,,,,,,,
629,3,45,48,,,,,,,,,
630,4,17,21,,,,,,,,,
631,1,97,98,,,,,,,,,
632,1,19,20,,,,,,,,,
633,3,63,66,,,,,,,,,
634,1,82,83,,,,,,,,,
635,5,34,39,,,,,,,,,
636,4,50,54,,,,,,,,,
637,3,19,22,,,,,,,,,
638,3,81,84,,,,,,,,,
639,2,1,3,,,,,,,,,
640,6,12,18,,,,,,,,,
641,3,4,7,,,,,,,,,
642,1,33,34,,,,,,,,,
643,5,86,91,,,,,,,,,
644,1,52,53,,,,,,,,,
645,5,27,32,,,,,,,,,
646,2,41,43,,,,,,,,,
647,5,48,53,,,,,,,,,
648,2,51,53,,,,,,,,,
649,2,40,42,,,,,,,,,
650,2,80,82,,,,,,,,,
651,3,18,21,,,,,,,,,
652,4,80,84,,,,,,,,,
653,2,34,36,,,,,,,,,
654,4,11,15,,,,,,,,,
655,3,75,78,,,,,,,,,
656,6,57,63,,,,,,,,,
657,3,83,86,,,,,,,,,
658,5,53,58,,,,,,,,,
659,2,12,14,,,,,,,,,
660,4,54,58,,,,,,,,,
661,2,76,78,,,,,,,,,
662,1,12,13,,,,,,,,,
663,5,54,59,,,,,,,,,
664,4,37,41,,,,,,,,,
665,1,97,98,,,,,,,,,
666,2,18,20,,,,,,,,,
667,2,97,99,,,,,,,,,
668,3,53,56,,,,,,,,,
669,5,8,13,,,,,,,,,
670,4,69,73,,,,,,,,,
671,6,89,95,,,,,,,,,
672,1,64,65,,,,,,,,,
673,1,65,66,,,,,,,,,
674,5,43,48,,,,,,,,,
675,2,72,74,,,,,,,,,
676,4,17,21,,,,,,,,,
677,3,90,93,,,,,,,,,
678,4,22,26,,,,,,,,,
679,3,41,44,,,,,,,,,
680,4,88,92,,,,,,,,,
681,2,25,27,,,,,,,,,
682,5,3,8,,,,,,,,,
683,2,5,7,,,,,,,,,
684,2,4,6,,,,,,,,,
685,2,71,73,,,,,,,,,
686,2,97,99,,,,,,,,,
687,3,48,51,,,,,,,,,
688,1,82,83,,,,,,,,,
689,4,29,33,,,,,,,,,
690,2,40,42,,,,,,,,,
691,6,71,77,,,,,,,,,
692,6,99,105,,,,,,,,,
693,1,36,37,,,,,,,,,
694,6,55,61,,,,,,,,,
695,6,81,87,,,,,,,,,
696,4,65,69,,,,,,,,,
697,3,50,53,,,,,,,,,
698,6,78,84,,,,,,,,,
699,6,75,81,,,,,,,,,
700,5,69,74,,,,,,,,,
701,1,4,5,,,,,,,,,
702,6,55,61,,,,,,,,,
703,3,78,81,,,,,,,,,
704,2,15,17,,,,,,,,,
705,6,11,17,,,,,,,,,
706,2,9,11,,,,,,,,,
707,4,61,65,,,,,,,,,
708,3,94,97,,,,,,,,,
709,6,30,36,,,,,,,,,
710,2,24,26,,,,,,,,,
711,2,94,96,,,,,,,,,
712,4,67,71,,,,,,,,,
713,5,7,12,,,,,,,,,
714,4,1,5,,,,,,,,,
715,5,77,82,,,,,,,,,
716,1,25,26,,,,,,,,,
717,4,34,38,,,,,,,,,
718,6,83,89,,,,,,,,,
719,1,67,68,,,,,,,,,
720,1,20,21,,,,,,,,,
721,4,54,58,,,,,,,,,
722,1,11,12,,,,,,,,,
723,6,87,93,,,,,,,,,
724,6,14,20,,,,,,,,,
725,3,55,58,,,,,,,,,
726,3,30,33,,,,,,,,,
727,6,76,82,,,,,,,,,
728,4,95,99,,,,,,,,,
729,5,40,45,,,,,,,,,
730,5,15,20,,,,,,,,,
731,2,63,65,,,,,,,,,
732,6,47,53,,,,,,,,,
733,3,23,26,,,,,,,,,
734,5,63,68,,,,,,,,,
735,5,29,34,,,,,,,,,
736,5,70,75,,,,,,,,,
737,4,63,67,,,,,,,,,
738,6,100,106,,,,,,,,,
739,3,87,90,,,,,,,,,
740,3,69,72,,,,,,,,,
741,6,1,7,,,,,,,,,
742,1,41,42,,,,,,,,,
743,2,94,96,,,,,,,,,
744,5,62,67,,,,,,,,,
745,3,29,32,,,,,,,,,
746,1,100,101,,,,,,,,,
747,6,72,78,,,,,,,,,
748,5,44,49,,,,,,,,,
749,6,79,85,,,,,,,,,
750,6,34,40,,,,,,,,,
751,6,40,46,,,,,,,,,
752,4,93,97,,,,,,,,,
753,4,87,91,,,,,,,,,
754,4,3,7,,,,,,,,,
755,2,56,58,,,,,,,,,
756,3,67,70,,,,,,,,,
757,2,21,23,,,,,,,,,
758,1,88,89,,,,,,,,,
759,5,94,99,,,,,,,,,
760,5,51,56,,,,,,,,,
761,4,81,85,,,,,,,,,
762,3,17,20,,,,,,,,,
763,6,1,7,,,,,,,,,
764,6,97,103,,,,,,,,,
765,1,18,19,,,,,,,,,
766,1,90,91,,,,,,,,,
767,1,38,39,,,,,,,,,
768,1,11,12,,,,,,,,,
769,4,78,82,,,,,,,,,
770,3,97,100,,,,,,,,,
771,2,35,37,,,,,,,,,
772,3,93,96,,,,,,,,,
773,6,22,28,,,,,,,,,
774,2,26,28,,,,,,,,,
775,5,33,38,,,,,,,,,
776,2,88,90,,,,,,,,,
777,3,30,33,,,,,,,,,
778,3,65,68,,,,,,,,,
779,2,68,70,,,,,,,,,
780,5,61,66,,,,,,,,,
781,1,43,44,,,,,,,,,
782,6,94,100,,,,,,,,,
783,2,36,38,,,,,,,,,
784,2,56,58,,,,,,,,,
785,2,68,70,,,,,,,,,
786,2,51,53,,,,,,,,,
787,6,19,25,,,,,,,,,
788,5,61,66,,,,,,,,,
789,4,27,31,,,,,,,,,
790,4,54,58,,,,,,,,,
791,5,14,19,,,,,,,,,
792,1,23,24,,,,,,,,,
793,5,49,54,,,,,,,,,
794,5,73,78,,,,,,,,,
795,5,52,57,,,,,,,,,
796,1,53,54,,,,,,,,,
797,2,38,40,,,,,,,,,
798,2,78,80,,,,,,,,,
799,2,49,51,,,,,,,,,
800,3,91,94,,,,,,,,,
801,2,88,90,,,,,,,,,
802,5,70,75,,,,,,,,,
803,4,35,39,,,,,,,,,
804,2,45,47,,,,,,,,,
805,5,68,73,,,,,,,,,
806,6,71,77,,,,,,,,,
807,3,95,98,,,,,,,,,
808,4,23,27,,,,,,,,,
809,1,84,85,,,,,,,,,
810,5,11,16,,,,,,,,,
811,1,83,84,,,,,,,,,
812,6,33,39,,,,,,,,,
