Roll, Dice6, Dice100, Sum,,,,,,,,,
160,5,93,98,,,,,,,,,
161,3,10,13,,,,,,,,,
162,6,12,18,,,,,,,,,
163,5,96,101,,,,,,,,,
164,5,54,59,,,,,,,,,
165,6,100,106,,,,,,,,,
166,1,92,93,,,,,,,,,
167,3,83,86,,,,,,,,,
168,2,78,80,,,,,,,,,
169,3,78,81,,,,,,,,,
170,3,43,46,,,,,,,,,
171,6,21,27,,,,,,,,,
172,2,48,50,,,,,,,,,
173,6,11,17,,,,,,,,,
174,2,43,45,,,,,,,,,
175,5,80,85,,,,,,,,,
176,5,23,28,,,,,,,,,
177,3,98,101,,,,,,,,,
178,3,78,81,,,,,,,,,
179,1,91,92,,,,,,,,,
180,5,32,37,,,,,,,,,
181,5,61,66,,,,,,,,,
182,3,63,66,,,,,,,,,
183,4,34,38,,,,,,,,,
184,3,42,45,,,,,,,,,
185,6,73,79,,,,,,,,,
186,2,41,43,,,,,,,,,
187,6,56,62,,,,,,,,,
188,5,9,14,,,,,,,,,
189,4,8,12,,,,,,,,,
190,3,3,6,,,,,,,,,
191,1,90,91,,,,,,,,,
192,1,28,29,,,,,,,,,
193,3,11,14,,,,,,,,,
194,1,36,37,,,,,,,,,
195,6,87,93,,,,,,,,,
196,5,44,49,,,,,,,,,
197,1,42,43,,,,,,,,,
198,6,94,100,,,,,,,,,
199,1,98,99,,,,,,,,,
200,6,38,44,,,,,,,,,
201,3,19,22,,,,,,,,,
202,3,64,67,,,,,,,,,
203,6,71,77,,,,,,,,,
204,4,44,48,,,,,,,,,
205,2,78,80,,,,,,,,,
206,2,64,66,,,,,,,,,
207,5,22,27,,,,,,,,,
208,3,58,61,,,,,,,,,
209,1,47,48,,,,,,,,,
210,1,86,87,,,,,,,,,
211,3,11,14,,,,,,,,,
212,5,32,37,,,,,,,,,
213,2,86,88,,,,,,,,,
214,3,79,82,,,,,,,,,
215,6,60,66,,,,,,,,,
216,4,58,62,,,,,,,,,
217,1,98,99,,,,,,,,,
218,5,8,13,,,,,,,,,
219,2,96,98,,,,,,,,,
220,5,97,102,,,,,,,,,
221,5,48,53,,,,,,,,,
222,5,92,97,,,,,,,,,
223,4,3,7,,,,,,,,,
224,1,54,55,,,,,,,,,
225,4,93,97,,,,,,,,,
226,5,34,39,,,,,,,,,
227,1,19,20,,,,,,,,,
228,1,7,8,,,,,,,,,
229,2,90,92,,,,,,,,,
230,1,91,92,,,,,,,,,
231,3,4,7,,,,,,,,,
232,4,83,87,,,,,,,,,
233,6,20,26,,,,,,,,,
234,5,73,78,,,,,,,,,
235,3,93,96,,,,,,,,,
236,4,40,44,,,,,,,,,
237,5,82,87,,,,,,,,,
238,1,10,11,,,,,,,,,
239,2,31,33,,,,,,,,,
240,3,37,40,,,,,,,,,
241,3,53,56,,,,,,,,,
242,5,25,30,,,,,,,,,
243,5,87,92,,,,,,,,,
244,1,26,27,,,,,,,,,
245,4,19,23,,,,,,,,,
246,3,81,84,,,,,,,,,
247,1,64,65,,,,,,,,,
248,5,76,81,,,,,,,,,
249,2,5,7,,,,,,,,,
250,4,98,102,,,,,,,,,
251,6,69,75,,,,,,,,,
252,1,90,91,,,,,,,,,
253,4,19,23,,,,,,,,,
254,3,38,41,,,,,,,,,
255,5,65,70,,,,,,,,,
256,2,71,73,,,,,,,,,
257,1,96,97,,,,,,,,,
258,2,39,41,,,,,,,,,
259,1,30,31,,,,,,,,,
260,6,62,68,,,,,,,,,
261,1,80,81,,,,,,,,,
262,2,23,25,,,,,,,,,
263,2,57,59,,,,,,,,,
264,2,27,29,,,,,,,,,
265,5,49,54,,,,,,,,,
266,4,10,14,,,,,,,,,
267,4,65,69,,,,,,,,,
268,5,71,76,,,,,,,,,
269,3,1,4,,,,,,,,,
270,4,84,88,,,,,,,,,
271,1,86,87,,,,,,,,,
272,6,85,91,,,,,,,,,
273,3,5,8,,,,,,,,,
274,1,67,68,,,,,,,,,
275,1,87,88,,,,,,,,,
276,1,35,36,,,,,,,,,
277,2,22,24,,,,,,,,,
278,1,61,62,,,,,,,,,
279,4,58,62,,,,,,,,,
280,3,91,94,,,,,,,,,
281,6,15,21,,,,,,,,,
282,4,27,31,,,,,,,,,
283,1,3,4,,,,,,,,,
284,2,65,67,,,,,,,,,
285,1,9,10,,,,,,,,,
286,2,72,74,,,,,,,,,
287,2,6,8,,,,,,,,,
288,4,79,83,,,,,,,,,
289,6,79,85,,,,,,,,,
290,5,96,101,,,,,,,,,
291,5,25,30,,,,,,,,,
292,6,82,88,,,,,,,,,
293,3,90,93,,,,,,,,,
294,5,24,29,,,,,,,,,
295,5,81,86,,,,,,,,,
296,6,57,63,,,,,,,,,
297,1,66,67,,,,,,,,,
298,3,77,80,,,,,,,,,
299,2,32,34,,,,,,,,,
300,4,22,26,,,,,,,,,
301,5,41,46,,,,,,,,,
302,5,86,91,,,,,,,,,
303,4,49,53,,,,,,,,,
304,6,8,14,,,,,,,,,
305,5,61,66,,,,,,,,,
306,5,43,48,,,,,,,,,
307,5,89,94,,,,,,,,,
308,4,83,87,,,,,,,,,
309,6,70,76,,,,,,,,,
310,5,29,34,,,,,,,,,
311,5,72,77,,,,,,,,,
312,1,97,98,,,,,,,,,
313,1,67,68,,,,,,,,,
314,4,56,60,,,,,,,,,
315,3,19,22,,,,,,,,,
316,6,91,97,,,,,,,,,
317,3,74,77,,,,,,,,,
318,2,9,11,,,,,,,,,
319,4,92,96,,,,,,,,,
320,6,52,58,,,,,,,,,
321,2,22,24,,,,,,,,,
322,2,88,90,,,,,,,,,
323,6,22,28,,,,,,,,,
324,5,40,45,,,,,,,,,
325,3,29,32,,,,,,,,,
326,2,41,43,,,,,,,,,
327,6,4,10,,,,,,,,,
328,4,41,45,,,,,,,,,
329,2,67,69,,,,,,,,,
330,6,72,78,,,,,,,,,
331,3,77,80,,,,,,,,,
332,2,95,97,,,,,,,,,
333,5,42,47,,,,,,,,,
334,1,24,25,,,,,,,,,
335,3,70,73,,,,,,,,,
336,6,88,94,,,,,,,,,
337,2,73,75,,,,,,,,,
338,3,5,8,,,,,,,,,
339,2,97,99,,,,,,,,,
340,2,85,87,,,,,,,,,
341,3,15,18,,,,,,,,,
342,3,29,32,,,,,,,,,
343,2,18,20,,,,,,,,,
344,1,92,93,,,,,,,,,
345,2,68,70,,,,,,,,,
346,5,68,73,,,,,,,,,
347,3,29,32,,,,,,,,,
348,5,99,104,,,,,,,,,
349,2,17,19,,,,,,,,,
350,6,6,12,,,,,,,,,
351,5,1,6,,,,,,,,,
352,1,30,31,,,,,,,,,
353,4,19,23,,,,,,,,,
354,4,67,71,,,,,,,,,
355,4,82,86,,,,,,,,,
356,1,44,45,,,,,,,,,
357,6,32,38,,,,,,,,,
358,2,66,68,,,,,,,,,
359,5,92,97,,,,,,,,,
360,3,85,88,,,,,,,,,
361,6,23,29,,,,,,,,,
362,6,8,14,,,,,,,,,
363,5,18,23,,,,,,,,,
364,6,24,30,,,,,,,,,
365,3,31,34,,,,,,,,,
366,3,73,76,,,,,,,,,
367,2,73,75,,,,,,,,,
368,2,57,59,,,,,,,,,
369,2,39,41,,,,,,,,,
370,1,59,60,,,,,,,,,
371,6,78,84,,,,,,,,,
372,2,16,18,,,,,,,,,
373,3,78,81,,,,,,,,,
374,5,9,14,,,,,,,,,
375,3,93,96,,,,,,,,,
376,3,32,35,,,,,,,,,
377,5,49,54,,,,,,,,,
378,1,70,71,,,,,,,,,
379,4,48,52,,,,,,,,,
380,5,52,57,,,,,,,,,
381,3,26,29,,,,,,,,,
382,2,62,64,,,,,,,,,
383,6,29,35,,,,,,,,,
384,6,41,47,,,,,,,,,
385,4,44,48,,,,,,,,,
386,1,87,88,,,,,,,,,
387,5,5,10,,,,,,,,,
388,6,33,39,,,,,,,,,
389,4,38,42,,,,,,,,,
390,2,2,4,,,,,,,,,
391,6,38,44,,,,,,,,,
392,4,97,101,,,,,,,,,
393,2,24,26,,,,,,,,,
394,4,52,56,,,,,,,,,
395,6,10,16,,,,,,,,,
396,1,2,3,,,,,,,,,
397,1,31,32,,,,,,,,,
398,1,85,86,,,,,,,,,
399,1,84,85,,,,,,,,,
400,3,26,29,,,,,,,,,
401,3,28,31,,,,,,,,,
402,5,52,57,,,,,,,,,
403,2,70,72,,,,,,,,,
404,4,65,69,,,,,,,,,
405,4,29,33,,,,,,,,,
406,6,37,43,,,,,,,,,
407,1,51,52,,,,,,,,,
408,5,52,57,,,,,,,,,
409,3,50,53,,,,,,,,,
410,5,50,55,,,,,,,,,
411,6,62,68,,,,,,,,,
412,5,98,103,,,,,,,,,
413,4,65,69,,,,,,,,,
414,6,50,56,,,,,,,,,
415,4,59,63,,,,,,,,,
416,6,26,32,,,,,,,,,
417,2,92,94,,,,,,,,,
418,5,21,26,,,,,,,,,
419,3,17,20,,,,,,,,,
420,5,20,25,,,,,,,,,
421,5,54,59,,,,,,,,,
422,1,63,64,,,,,,,,,
423,5,41,46,,,,,,,,,
424,3,83,86,,,,,,,,,
425,3,73,76,,,,,,,,,
426,6,6,12,,,,,,,,,
427,2,34,36,,,,,,,,,
428,3,25,28,,,,,,,,,
429,6,37,43,,,,,,,,,
430,1,97,98,,,,,,,,,
431,3,6,9,,,,,,,,,
432,4,36,40,,,,,,,,,
433,5,3,8,,,,,,,,,
434,4,61,65,,,,,,,,,
435,1,92,93,,,,,,,,,
436,1,15,16,,,,,,,,,
437,5,89,94,,,,,,,,,
438,6,1,7,,,,,,,,,
439,3,96,99,,,,,,,,,
440,1,75,76,,,,,,,,,
441,6,18,24,,,,,,,,,
442,2,54,56,,,,,,,,,
443,5,35,40,,,,,,,,,
444,2,48,50,,,,,,,,,
445,3,8,11,,,,,,,,,
446,4,69,73,,,,,,,,,
447,3,70,73,,,,,,,,,
448,4,61,65,,,,,,,,,
449,6,11,17,,,,,,,,,
450,2,94,96,,,,,,,,,
451,2,54,56,,,,,,,,,
452,4,98,102,,,,,,,,,
453,6,89,95,,,,,,,,,
454,5,74,79,,,,,,,,,
455,2,37,39,,,,,,,,,
456,3,4,7,,,,,,,,,
457,1,28,29,,,,,,,,,
458,5,5,10,,,,,,,,,
459,4,38,42,,,,,,,,,
460,1,36,37,,,,,,,,,
461,4,100,104,,,,,,,,,
462,2,58,60,,,,,,,,,
463,1,11,12,,,,,,,,,
464,1,92,93,,,,,,,,,
465,5,92,97,,,,,,,,,
466,5,74,79,,,,,,,,,
467,5,45,50,,,,,,,,,
468,6,38,44,,,,,,,,,
469,5,74,79,,,,,,,,,
470,5,69,74,,,,,,,,,
471,4,11,15,,,,,,,,,
472,4,16,20,,,,,,,,,
473,3,32,35,,,,,,,,,
474,1,4,5,,,,,,,,,
475,3,29,32,,,,,,,,,
476,4,14,18,,,,,,,,,
477,4,47,51,,,,,,,,,
478,4,49,53,,,,,,,,,
479,4,94,98,,,,,,,,,
480,2,30,32,,,,,,,,,
481,1,29,30,,,,,,,,,
482,4,81,85,,,,,,,,,
483,3,79,82,,,,,,,,,
484,4,9,13,,,,,,,,,
485,4,80,84,,,,,,,,,
486,5,65,70,,,,,,,,,
487,1,52,53,,,,,,,,,
488,1,85,86,,,,,,,,,
489,5,5,10,,,,,,,,,
490,6,4,10,,,,,,,,,
491,3,79,82,,,,,,,,,
492,5,64,69,,,,,,,,,
493,6,92,98,,,,,,,,,
494,2,35,37,,,,,,,,,
495,3,8,11,,,,,,,,,
496,2,21,23,,,,,,,,,
497,6,19,25,,,,,,,,,
498,3,12,15,,,,,,,,,
499,3,70,73,,,,,,,,,
500,6,100,106,,,,,,,,,
501,4,1,5,,,,,,,,,
502,3,44,47,,,,,,,,,
503,4,97,101,,,,,,,,,
504,2,39,41,,,,,,,,,
505,1,67,68,,,,,,,,,
506,2,89,91,,,,,,,,,
507,2,62,64,,,,,,,,,
508,6,75,81,,,,,,,,,
509,6,68,74,,,,,,,,,
510,1,90,91,,,,,,,,,
511,1,24,25,,,,,,,,,
512,1,62,63,,,,,,,,,
513,3,63,66,,,,,,,,,
514,3,91,94,,,,,,,,,
515,5,44,49,,,,,,,,,
516,1,86,87,,,,,,,,,
517,2,7,9,,,,,,,,,
518,1,48,49,,,,,,,,,
519,3,60,63,,,,,,,,,
520,4,59,63,,,,,,,,,
521,6,27,33,,,,,,,,,
522,1,75,76,,,,,,,,,
523,6,50,56,,,,,,,,,
524,5,93,98,,,,,,,,,
525,3,61,64,,,,,,,,,
526,3,91,94,,,,,,,,,
527,5,97,102,,,,,,,,,
528,6,31,37,,,,,,,,,
529,1,76,77,,,,,,,,,
530,3,43,46,,,,,,,,,
531,6,15,21,,,,,,,,,
532,2,63,65,,,,,,,,,
533,3,8,11,,,,,,,,,
534,4,27,31,,,,,,,,,
535,3,95,98,,,,,,,,,
536,5,45,50,,,,,,,,,
537,3,83,86,,,,,,,,,
538,1,13,14,,,,,,,,,
539,1,72,73,,,,,,,,,
540,5,49,54,,,,,,,,,
541,2,43,45,,,,,,,,,
542,4,20,24,,,,,,,,,
543,5,95,100,,,,,,,,,
544,4,98,102,,,,,,,,,
545,1,75,76,,,,,,,,,
546,2,42,44,,,,,,,,,
547,3,68,71,,,,,,,,,
548,4,62,66,,,,,,,,,
549,3,66,69,,,,,,,,,
550,2,94,96,,,,,,,,,
551,4,25,29,,,,,,,,,
552,6,37,43,,,,,,,,,
553,1,12,13,,,,,,,,,
554,5,91,96,,,,,,,,,
555,3,9,12,,,,,,,,,
556,4,19,23,,,,,,,,,
557,6,83,89,,,,,,,,,
558,6,90,96,,,,,,,,,
559,5,92,97,,,,,,,,,
560,1,99,100,,,,,,,,,
561,4,79,83,,,,,,,,,
562,6,6,12,,,,,,,,,
563,4,96,100,,,,,,,,,
564,3,76,79,,,,,,,,,
565,1,59,60,,,,,,,,,
566,1,24,25,,,,,,,,,
567,1,10,11,,,,,,,,,
568,6,93,99,,,,,,,,,
569,4,60,64,,,,,,,,,
570,2,56,58,,,,,,,,,
571,5,75,80,,,,,,,,,
572,4,72,76,,,,,,,,,
573,1,16,17,,,,,,,,,
574,5,85,90,,,,,,,,,
575,1,52,53,,,,,,,,,
576,6,24,30,,,,,,,,,
577,6,23,29,,,,,,,,,
578,5,79,84,,,,,,,,,
579,6,48,54,,,,,,,,,
580,4,30,34,,,,,,,,,
581,2,75,77,,,,,,,,,
582,6,40,46,,,,,,,,,
583,2,13,15,,,,,,,,,
584,6,9,15,,,,,,,,,
585,1,67,68,,,,,,,,,
586,5,93,98,,,,,,,,,
587,1,42,43,,,,,,,,,
588,4,49,53,,,,,,,,,
589,3,76,79,,,,,,,,,
590,2,15,17,,,,,,,,,
591,5,69,74,,,,,,,,,
592,2,8,10,,,,,,,,,
593,3,19,22,,,,,,,,,
594,6,13,19,,,,,,,,,
595,4,44,48,,,,,,,,,
596,4,23,27,,,,,,,,,
597,4,47,51,,,,,,,,,
598,4,57,61,,,,,,,,,
599,4,49,53,,,,,,,,,
600,6,36,42,,,,,,,,,
601,2,34,36,,,,,,,,,
602,6,60,66,,,,,,,,,
603,1,95,96,,,,,,,,,
604,1,36,37,,,,,,,,,
605,2,46,48,,,,,,,,,
606,4,1,5,,,,,,,,,
607,6,92,98,,,,,,,,,
608,6,8,14,,,,,,,,,
609,4,98,102,,,,,,,,,
610,6,79,85,,,,,,,,,
611,3,14,17,,,,,,,,,
612,3,62,65,,,,,,,,,
613,2,18,20,,,,,,,,,
614,6,71,77,,,,,,,,,
615,4,35,39,,,,,,,,,
616,2,33,35,,,,,,,,,
617,4,37,41,,,,,,,,,
618,3,47,50,,,,,,,,,
619,1,53,54,,,,,,,,,
620,6,53,59,,,,,,,,,
621,6,35,41,,,,,,,,,
622,5,11,16,,,,,,,,,
623,2,64,66,,,,,,,,,
624,2,39,41,,,,,,,,,
625,5,90,95,,,,,,,,,
626,3,53,56,,,,,,,,,
627,3,69,72,,,,,,,,,
628,4,62,66,,,,,,,,,
629,2,36,38,,,,,,,,,
630,1,4,5,,,,,,,,,
631,6,42,48,,,,,,,,,
632,6,94,100,,,,,,,,,
633,5,28,33,,,,,,,,,
634,6,61,67,,,,,,,,,
635,2,25,27,,,,,,,,,
636,3,77,80,,,,,,,,,
637,5,69,74,,,,,,,,,
638,3,37,40,,,,,,,,,
639,3,9,12,,,,,,,,,
640,1,45,46,,,,,,,,,
641,4,44,48,,,,,,,,,
642,4,52,56,,,,,,,,,
643,6,15,21,,,,,,,,,
644,1,50,51,,,,,,,,,
645,2,1,3,,,,,,,,,
646,1,24,25,,,,,,,,,
647,5,40,45,,,,,,,,,
648,3,73,76,,,,,,,,,
649,2,8,10,,,,,,,,,
650,1,99,100,,,,,,,,,
651,2,50,52,,,,,,,,,
652,6,42,48,,,,,,,,,
653,2,18,20,,,,,,,,,
654,6,2,8,,,,,,,,,
655,2,57,59,,,,,,,,,
656,1,27,28,,,,,,,,,
657,6,48,54,,,,,,,,,
658,2,63,65,,,,,,,,,
659,4,95,99,,,,,,,,,
660,6,16,22,,,,,,,,,
661,5,68,73,,,,,,,,,
662,5,89,94,,,,,,,,,
663,6,7,13,,,,,,,,,
664,1,27,28,,,,,,,,,
665,2,98,100,,,,,,,,,
666,3,49,52,,,,,,,,,
667,5,4,9,,,,,,,,,
668,2,68,70,,,,,,,,,
669,2,72,74,,,,,,,,,
670,2,99,101,,,,,,,,,
671,6,68,74,,,,,,,,,
672,6,79,85,,,,,,,,,
673,3,7,10,,,,,,,,,
674,5,28,33,,,,,,,,,
675,1,5,6,,,,,,,,,
676,1,100,101,,,,,,,,,
677,2,33,35,,,,,,,,,
678,6,83,89,,,,,,,,,
679,1,53,54,,,,,,,,,
680,3,8,11,,,,,,,,,
681,2,38,40,,,,,,,,,
682,6,48,54,,,,,,,,,
683,5,98,103,,,,,,,,,
684,1,14,15,,,,,,,,,
685,1,36,37,,,,,,,,,
686,5,100,105,,,,,,,,,
687,5,42,47,,,,,,,,,
688,6,21,27,,,,,,,,,
689,2,70,72,,,,,,,,,
690,5,53,58,,,,,,,,,
691,4,95,99,,,,,,,,,
692,6,50,56,,,,,,,,,
693,2,43,45,,,,,,,,,
694,4,22,26,,,,,,,,,
695,5,93,98,,,,,,,,,
696,6,96,102,,,,,,,,,
697,6,37,43,,,,,,,,,
698,5,22,27,,,,,,,,,
699,2,62,64,,,,,,,,,
700,6,6,12,,,,,,,,,
701,1,4,5,,,,,,,,,
702,3,4,7,,,,,,,,,
703,3,34,37,,,,,,,,,
704,4,96,100,,,,,,,,,
705,2,76,78,,,,,,,,,
706,4,81,85,,,,,,,,,
707,5,3,8,,,,,,,,,
708,2,2,4,,,,,,,,,
709,2,66,68,,,,,,,,,
710,3,92,95,,,,,,,,,
711,6,4,10,,,,,,,,,
712,6,91,97,,,,,,,,,
713,5,86,91,,,,,,,,,
714,6,78,84,,,,,,,,,
715,5,51,56,,,,,,,,,
716,6,96,102,,,,,,,,,
717,6,40,46,,,,,,,,,
718,3,2,5,,,,,,,,,
719,2,78,80,,,,,,,,,
720,4,81,85,,,,,,,,,
721,4,97,101,,,,,,,,,
722,5,28,33,,,,,,,,,
723,2,95,97,,,,,,,,,
724,5,97,102,,,,,,,,,
725,2,55,57,,,,,,,,,
726,4,21,25,,,,,,,,,
727,1,79,80,,,,,,,,,
728,5,3,8,,,,,,,,,
729,5,74,79,,,,,,,,,
730,6,63,69,,,,,,,,,
731,1,15,16,,,,,,,,,
732,4,30,34,,,,,,,,,
733,5,12,17,,,,,,,,,
734,4,32,36,,,,,,,,,
735,2,81,83,,,,,,,,,
736,4,95,99,,,,,,,,,
737,5,76,81,,,,,,,,,
738,4,80,84,,,,,,,,,
739,6,6,12,,,,,,,,,
740,6,33,39,,,,,,,,,
741,4,20,24,,,,,,,,,
742,1,22,23,,,,,,,,,
743,2,15,17,,,,,,,,,
744,6,66,72,,,,,,,,,
745,1,56,57,,,,,,,,,
746,5,65,70,,,,,,,,,
747,6,90,96,,,,,,,,,
748,4,76,80,,,,,,,,,
749,4,29,33,,,,,,,,,
750,5,43,48,,,,,,,,,
751,5,22,27,,,,,,,,,
752,5,42,47,,,,,,,,,
753,2,62,64,,,,,,,,,
754,5,71,76,,,,,,,,,
755,5,53,58,,,,,,,,,
756,6,30,36,,,,,,,,,
757,4,8,12,,,,,,,,,
758,6,21,27,,,,,,,,,
759,1,27,28,,,,,,,,,
760,3,63,66,,,,,,,,,
761,6,67,73,,,,,,,,,
762,5,4,9,,,,,,,,,
763,4,24,28,,,,,,,,,
764,5,9,14,,,,,,,,,
765,5,38,43,,,,,,,,,
766,1,65,66,,,,,,,,,
767,1,39,40,,,,,,,,,
768,2,8,10,,,,,,,,,
769,4,31,35,,,,,,,,,
770,5,70,75,,,,,,,,,
771,3,34,37,,,,,,,,,
772,4,54,58,,,,,,,,,
773,5,3,8,,,,,,,,,
774,2,63,65,,,,,,,,,
775,1,12,13,,,,,,,,,
776,3,63,66,,,,,,,,,
777,2,3,5,,,,,,,,,
778,4,86,90,,,,,,,,,
779,3,96,99,,,,,,,,,
780,2,83,85,,,,,,,,,
781,5,45,50,,,,,,,,,
782,1,44,45,,,,,,,,,
783,5,57,62,,,,,,,,,
784,3,87,90,,,,,,,,,
785,1,81,82,,,,,,,,,
786,2,21,23,,,,,,,,,
787,2,59,61,,,,,,,,,
788,6,55,61,,,,,,,,,
789,1,51,52,,,,,,,,,
790,3,94,97,,,,,,,,,
791,3,46,49,,,,,,,,,
792,2,44,46,,,,,,,,,
793,6,73,79,,,,,,,,,
794,5,78,83,,,,,,,,,
795,6,75,81,,,,,,,,,
796,2,5,7,,,,,,,,,
797,1,11,12,,,,,,,,,
798,2,5,7,,,,,,,,,
799,1,2,3,,,,,,,,,
800,3,57,60,,,,,,,,,
801,5,51,56,,,,,,,,,
802,3,48,51,,,,,,,,,
803,5,54,59,,,,,,,,,
804,2,74,76,,,,,,,,,
805,4,75,79,,,,,,,,,
806,1,70,71,,,,,,,,,
807,6,74,80,,,,,,,,,
808,6,19,25,,,,,,,,,
809,2,46,48,,,,,,,,,
810,5,17,22,,,,,,,,,
811,6,60,66,,,,,,,,,
812,3,90,93,,,,,,,,,
