useSIMD, doReduction, arraySize, megaOpsSecAvg, megaOpsSecBest, timeAvg, timeBest
0, 0, 128, 427.393154, 882.433088, 2.9949005693e-07, 1.4505349100e-07
0, 0, 64, 294.585690, 840.605220, 2.1725427359e-07, 7.6135620475e-08
0, 0, 32, 153.734847, 380.717323, 2.0815059543e-07, 8.4051862359e-08
0, 0, 16, 89.315670, 262.288079, 1.7913989723e-07, 6.1001628637e-08
0, 0, 8, 46.984464, 156.893783, 1.7026904970e-07, 5.0989910960e-08
0, 0, 4, 24.074929, 97.612893, 1.6614794731e-07, 4.0978193283e-08
0, 0, 2, 13.565911, 51.436734, 1.4742836356e-07, 3.8882717490e-08
0, 0, 1, 7.104991, 26.349493, 1.4074612409e-07, 3.7951394916e-08
0, 1, 536870912, 1184.403376, 1191.816157, 4.5328384121e-01, 4.5046453597e-01
0, 1, 268435456, 1190.173039, 1193.052214, 2.2554321704e-01, 2.2499891696e-01
0, 1, 134217728, 1191.818381, 1193.545118, 1.1261592379e-01, 1.1245299899e-01
0, 1, 67108864, 1190.420490, 1191.524964, 5.6374083413e-02, 5.6321827928e-02
0, 1, 33554432, 1191.115546, 1192.693856, 2.8170593618e-02, 2.8133315034e-02
0, 1, 16777216, 1185.369313, 1190.625077, 1.4153577131e-02, 1.4091099147e-02
0, 1, 8388608, 1189.039659, 1193.110783, 7.0549438242e-03, 7.0308709983e-03
0, 1, 4194304, 1211.830676, 1216.248632, 3.4611304058e-03, 3.4485580400e-03
0, 1, 2097152, 1204.467728, 1212.880739, 1.7411442008e-03, 1.7290669493e-03
0, 1, 1048576, 1208.650852, 1219.434496, 8.6755906232e-04, 8.5988710634e-04
0, 1, 524288, 1210.205548, 1220.767587, 4.3322227430e-04, 4.2947405018e-04
0, 1, 262144, 1206.688809, 1220.489027, 2.1724242251e-04, 2.1478603594e-04
0, 1, 131072, 1213.691819, 1220.524750, 1.0799446609e-04, 1.0738987476e-04
0, 1, 65536, 1214.083659, 1222.390525, 5.3979805671e-05, 5.3612980992e-05
0, 1, 32768, 1194.039439, 1221.499330, 2.7442979626e-05, 2.6826048270e-05
0, 1, 16384, 1165.259579, 1218.422000, 1.4060386457e-05, 1.3446900994e-05
0, 1, 8192, 1197.276758, 1217.578714, 6.8421941251e-06, 6.7281071097e-06
0, 1, 4096, 1123.189874, 1157.380661, 3.6467565224e-06, 3.5390257835e-06
0, 1, 2048, 1123.613129, 1200.504029, 1.8226914108e-06, 1.7059501261e-06
0, 1, 1024, 946.651136, 1174.378241, 1.0817078874e-06, 8.7195076048e-07
0, 1, 512, 897.597149, 1130.022228, 5.7041179389e-07, 4.5308843255e-07
0, 1, 256, 522.358130, 940.557423, 4.9008522183e-07, 2.7217902243e-07
0, 1, 128, 475.773097, 933.371501, 2.6903580874e-07, 1.3713724911e-07
0, 1, 64, 320.370521, 753.090156, 1.9976869226e-07, 8.4983184934e-08
0, 1, 32, 166.572480, 432.197967, 1.9210856408e-07, 7.4040144682e-08
0, 1, 16, 101.475896, 301.401214, 1.5767291188e-07, 5.3085386753e-08
0, 1, 8, 50.065188, 181.797558, 1.5979167074e-07, 4.4004991651e-08
0, 1, 4, 25.811102, 97.612893, 1.5497207642e-07, 4.0978193283e-08
0, 1, 2, 13.474407, 52.698985, 1.4842953533e-07, 3.7951394916e-08
0, 1, 1, 6.818491, 26.349493, 1.4666002244e-07, 3.7951394916e-08
1, 0, 536870912, 3197.411196, 3293.597021, 1.6790799778e-01, 1.6300443211e-01
1, 0, 268435456, 3199.501756, 3307.486055, 8.3899143199e-02, 8.1159966066e-02
1, 0, 134217728, 3133.177769, 3312.418125, 4.2837571912e-02, 4.0519560920e-02
1, 0, 67108864, 3166.323349, 3270.448653, 2.1194570675e-02, 2.0519773010e-02
1, 0, 33554432, 3167.935029, 3280.432762, 1.0591893992e-02, 1.0228660190e-02
1, 0, 16777216, 3157.631965, 3282.490419, 5.3132271860e-03, 5.1111241337e-03
1, 0, 8388608, 3178.528814, 3347.331992, 2.6391480118e-03, 2.5060579646e-03
1, 0, 4194304, 4160.536265, 4582.256349, 1.0081161978e-03, 9.1533595696e-04
1, 0, 2097152, 4918.803451, 5575.618154, 4.2635409627e-04, 3.7612905726e-04
1, 0, 1048576, 5007.541587, 5616.217181, 2.0939935930e-04, 1.8670503050e-04
1, 0, 524288, 5111.344639, 5754.325234, 1.0257340036e-04, 9.1111985967e-05
1, 0, 262144, 5040.449879, 5725.545561, 5.2008056082e-05, 4.5784981921e-05
1, 0, 131072, 4801.119224, 5847.008241, 2.7300301008e-05, 2.2416934371e-05
1, 0, 65536, 5422.511428, 7483.051355, 1.2085912749e-05, 8.7579246610e-06
1, 0, 32768, 6232.037885, 7403.339735, 5.2579911426e-06, 4.4261105359e-06
1, 0, 16384, 6212.697913, 7567.345325, 2.6371795684e-06, 2.1650921553e-06
1, 0, 8192, 6233.832159, 7758.406194, 1.3141194358e-06, 1.0558869690e-06
1, 0, 4096, 5985.365421, 7476.492157, 6.8433582783e-07, 5.4785050452e-07
1, 0, 2048, 4835.675108, 6871.947674, 4.2351894081e-07, 2.9802322388e-07
1, 0, 1024, 3338.682541, 5726.623061, 3.0670780689e-07, 1.7881393433e-07
1, 0, 512, 2526.741647, 5443.126870, 2.0263250917e-07, 9.4063580036e-08
1, 0, 256, 1420.557659, 4133.502360, 1.8021091819e-07, 6.1932951212e-08
1, 0, 128, 846.429275, 2848.475720, 1.5122350305e-07, 4.4936314225e-08
1, 0, 64, 438.052441, 1527.099483, 1.4610122889e-07, 4.1909515858e-08
1, 0, 32, 218.573399, 780.903145, 1.4640390873e-07, 4.0978193283e-08
1, 0, 16, 108.630219, 399.531841, 1.4728866518e-07, 4.0046870708e-08
1, 0, 8, 54.058745, 174.414916, 1.4798715711e-07, 4.5867636800e-08
1, 0, 4, 26.805850, 99.882960, 1.4922115952e-07, 4.0046870708e-08
1, 0, 2, 13.908573, 51.436734, 1.4379620552e-07, 3.8882717490e-08
1, 0, 1, 6.915098, 25.565282, 1.4461111277e-07, 3.9115548134e-08
1, 1, 536870912, 5144.125139, 5157.380750, 1.0436583431e-01, 1.0409759101e-01
1, 1, 268435456, 5103.293490, 5128.060319, 5.2600434702e-02, 5.2346392069e-02
1, 1, 134217728, 4977.777621, 5111.762506, 2.6963383704e-02, 2.6256643934e-02
1, 1, 67108864, 4996.065071, 5027.347425, 1.3432343863e-02, 1.3348761946e-02
1, 1, 33554432, 5036.135992, 5135.427662, 6.6627335036e-03, 6.5339119174e-03
1, 1, 16777216, 4989.992020, 5108.107427, 3.3621729119e-03, 3.2844289672e-03
1, 1, 8388608, 5529.320090, 5753.108670, 1.5171138337e-03, 1.4581000432e-03
1, 1, 4194304, 7391.881055, 7460.014606, 5.6742038578e-04, 5.6223804131e-04
1, 1, 2097152, 7380.073190, 7444.969244, 2.8416411951e-04, 2.8168712743e-04
1, 1, 1048576, 7442.410186, 7554.258500, 1.4089199249e-04, 1.3880594634e-04
1, 1, 524288, 7423.389427, 7579.699322, 7.0626498200e-05, 6.9170026109e-05
1, 1, 262144, 7463.709998, 7583.656017, 3.5122479312e-05, 3.4566968679e-05
1, 1, 131072, 7517.154837, 7589.586020, 1.7436384223e-05, 1.7269980162e-05
1, 1, 65536, 7581.286609, 7720.103585, 8.6444430053e-06, 8.4890052676e-06
1, 1, 32768, 7509.043044, 7713.756556, 4.3638050556e-06, 4.2479950935e-06
1, 1, 16384, 7076.431671, 7454.316121, 2.3152912036e-06, 2.1979212761e-06
1, 1, 8192, 7031.670981, 7773.833869, 1.1650146917e-06, 1.0537914932e-06
1, 1, 4096, 6290.787071, 7448.004253, 6.5111089498e-07, 5.4994598031e-07
1, 1, 2048, 5258.619610, 6829.264769, 3.8945581764e-07, 2.9988586903e-07
1, 1, 1024, 3785.871147, 6024.721248, 2.7047935873e-07, 1.6996636987e-07
1, 1, 512, 2443.630687, 5125.928335, 2.0952429622e-07, 9.9884346128e-08
1, 1, 256, 1404.408772, 3616.814565, 1.8228311092e-07, 7.0780515671e-08
1, 1, 128, 770.181863, 2172.947881, 1.6619451344e-07, 5.8906152844e-08
1, 1, 64, 391.396706, 1232.636354, 1.6351696104e-07, 5.1921233535e-08
1, 1, 32, 194.562505, 642.238100, 1.6447156668e-07, 4.9825757742e-08
1, 1, 16, 102.781150, 327.235604, 1.5567056835e-07, 4.8894435167e-08
1, 1, 8, 48.606222, 154.079544, 1.6458798200e-07, 5.1921233535e-08
1, 1, 4, 23.907416, 74.051160, 1.6731210053e-07, 5.4016709328e-08
1, 1, 2, 12.843802, 38.519886, 1.5571713448e-07, 5.1921233535e-08
1, 1, 1, 6.739318, 20.849356, 1.4838296920e-07, 4.7963112593e-08
